test_id,throughput,proxy,kind,size,total_requests,concurrency
0,260.4142471877465,chp,http,large,1000,1
1,266.95645173923856,chp,http,large,1000,1
2,259.63473777622465,chp,http,large,1000,1
0,474.6999702746561,chp,http,large,1000,10
1,463.5592239553303,chp,http,large,1000,10
2,483.8117802376051,chp,http,large,1000,10
0,401.83185692490594,chp,http,large,1000,20
1,419.26963265202886,chp,http,large,1000,20
2,421.9998177213122,chp,http,large,1000,20
0,401.1707965903456,chp,http,large,1000,50
1,393.7964768447415,chp,http,large,1000,50
2,411.1781086229554,chp,http,large,1000,50
