test_id,throughput,proxy,kind,size,total_requests,concurrency
0,421.96778678674696,chp,http,small,1000,1
1,433.12141632186405,chp,http,small,1000,1
2,436.1352792301702,chp,http,small,1000,1
0,893.5872219675593,chp,http,small,1000,10
1,956.060099276347,chp,http,small,1000,10
2,926.8301689004373,chp,http,small,1000,10
0,827.8609653870141,chp,http,small,1000,20
1,869.7404700956528,chp,http,small,1000,20
2,901.599456098009,chp,http,small,1000,20
0,701.9183309361146,chp,http,small,1000,50
1,754.9644453722861,chp,http,small,1000,50
2,744.519215466908,chp,http,small,1000,50
