test_id,throughput,proxy,kind,size,total_requests,concurrency
0,15.471547476359644,chp,ws,large,1000,1
1,15.684536565723878,chp,ws,large,1000,1
2,15.605274862106823,chp,ws,large,1000,1
0,107.15635933016418,chp,ws,large,1000,10
1,96.86326810046428,chp,ws,large,1000,10
2,105.68260228692237,chp,ws,large,1000,10
0,129.40303259989926,chp,ws,large,1000,20
1,157.3280016341865,chp,ws,large,1000,20
2,154.34721727275542,chp,ws,large,1000,20
0,151.70816926725152,chp,ws,large,1000,50
1,180.48364697766763,chp,ws,large,1000,50
2,217.55118162345408,chp,ws,large,1000,50
