test_id,throughput,proxy,kind,size,total_requests,concurrency
0,307.9059601326322,chp,ws,small,1000,1
1,324.41799116348653,chp,ws,small,1000,1
2,312.12096098774873,chp,ws,small,1000,1
0,767.912407757537,chp,ws,small,1000,10
1,859.9751521358994,chp,ws,small,1000,10
2,855.903008515982,chp,ws,small,1000,10
0,773.2901361707467,chp,ws,small,1000,20
1,840.5766778314129,chp,ws,small,1000,20
2,840.0037675512275,chp,ws,small,1000,20
0,649.8841514888886,chp,ws,small,1000,50
1,713.3774039579083,chp,ws,small,1000,50
2,723.5928832979623,chp,ws,small,1000,50
