proxy,test_id,method,route_idx,cpu_time,real_time
CHP,0,add,1,0.40891040199999995,0.3704714560008142
CHP,0,delete,1,0.07532992500000013,0.06952985998941585
CHP,0,get_all,1,0.15254911100000013,0.1456104810058605
CHP,0,add,2,0.42474605,0.38406186999054626
CHP,0,delete,2,0.0746924459999998,0.0689921090088319
CHP,0,get_all,2,0.13980453599999998,0.1333081589982612
CHP,0,add,3,0.422008307,0.381997141012107
CHP,0,delete,3,0.06720360000000003,0.06177477900928352
CHP,0,get_all,3,0.12072293899999997,0.11555783200310543
CHP,0,add,4,0.44133505399999995,0.3992315109935589
CHP,0,delete,4,0.06670182399999991,0.061321379005676135
CHP,0,get_all,4,0.10690532500000005,0.10217222700885031
CHP,0,add,5,0.4437813719999999,0.4014088539988734
CHP,0,delete,5,0.08334845900000021,0.07666192199394573
CHP,0,get_all,5,0.08800018500000006,0.084417840000242
CHP,0,add,6,0.450013055,0.4073710120137548
CHP,0,delete,6,0.08337803199999971,0.07669092899595853
CHP,0,get_all,6,0.07391182499999993,0.07116077200043947
CHP,0,add,7,0.4528658809999999,0.40978181299578864
CHP,0,delete,7,0.08039819100000001,0.07371574100397993
CHP,0,get_all,7,0.054524964000000065,0.05268725199857727
CHP,0,add,8,0.45424711900000003,0.41095251399383415
CHP,0,delete,8,0.04445655999999998,0.04107403400121257
CHP,0,get_all,8,0.050160511999999935,0.04892332099552732
CHP,0,add,9,0.46132435299999996,0.41732651300844736
CHP,0,delete,9,0.037245910000000215,0.03462060900346842
CHP,0,get_all,9,0.18230693199999992,0.17481729399878532
CHP,0,add,10,0.4626046570000001,0.41855346800002735
CHP,0,delete,10,0.03727495000000003,0.03464967600302771
CHP,0,get_all,10,0.24806917299999998,0.23863530000380706
CHP,0,add,12,0.4713250859999999,0.4263585470034741
CHP,0,delete,12,0.030749988000000172,0.02850265399320051
CHP,0,get_all,12,0.38911353700000006,0.3717977259948384
CHP,0,add,13,0.474398071,0.4286697610077681
CHP,0,delete,13,0.05239846100000012,0.04817336999985855
CHP,0,get_all,13,0.40580727799999994,0.38679725999827497
CHP,0,add,15,0.4793172109999999,0.4330126209970331
CHP,0,delete,15,0.06566816200000014,0.060349898994900286
CHP,0,get_all,15,0.5292448509999998,0.5038552460027859
CHP,0,add,17,0.4586211600000001,0.41492712900799233
CHP,0,delete,17,0.04360769299999978,0.04022979800356552
CHP,0,get_all,17,0.019243537000000144,0.019907376990886405
CHP,0,add,19,0.09007480099999987,0.08606545699876733
CHP,0,delete,19,0.02134193299999998,0.019902287996956147
CHP,0,get_all,19,0.27459513199999996,0.26454317499883473
CHP,0,add,22,0.09818981599999999,0.0934064510074677
CHP,0,delete,22,0.029520364000000132,0.027405097003793344
CHP,0,get_all,22,0.42541304599999985,0.40547534699726384
CHP,0,add,25,0.10288351899999992,0.09750180400442332
CHP,0,delete,25,0.01907694700000029,0.018113304002326913
CHP,0,get_all,25,0.439189284,0.4190146870096214
CHP,0,add,28,0.11384327299999997,0.10723565699299797
CHP,0,delete,28,0.25787870199999974,0.23518164099368732
CHP,0,get_all,28,1.1104923439999999,1.0470392870047363
CHP,0,add,32,0.12217658800000009,0.11453250600607134
CHP,0,delete,32,0.24825348000000025,0.22634315700270236
CHP,0,get_all,32,1.0939141309999998,1.0316742529976182
CHP,0,add,36,0.13241762699999993,0.12394272499659564
CHP,0,delete,36,0.24272759599999993,0.22108144000230823
CHP,0,get_all,36,1.157013398,1.091141800992773
CHP,0,add,41,0.14773088299999992,0.137862622999819
CHP,0,delete,41,0.23686289599999988,0.21554926699900534
CHP,0,get_all,41,1.0765518610000002,1.0155207139905542
CHP,0,add,47,0.16538265000000008,0.15340051100065466
CHP,0,delete,47,0.2659466239999997,0.24253502499777824
CHP,0,get_all,47,1.133804054,1.0691382920049364
CHP,0,add,53,0.2550810039999999,0.23241734999464825
CHP,0,delete,53,0.23052144499999994,0.2098496140097268
CHP,0,get_all,53,0.03934443200000004,0.03839407399937045
CHP,0,add,60,0.27593920299999997,0.25119597899902146
CHP,0,delete,60,0.13162327199999968,0.11956676500267349
CHP,0,get_all,60,0.15664758199999995,0.14968566701281816
CHP,0,add,68,0.29093856800000006,0.26478303800104186
CHP,0,delete,68,0.1351926630000002,0.12246938499447424
CHP,0,get_all,68,0.32327062699999987,0.3105901660019299
CHP,0,add,77,0.3155816520000001,0.2873717689944897
CHP,0,delete,77,0.14690412499999983,0.1335669779946329
CHP,0,get_all,77,0.4781979890000001,0.45588333599152975
CHP,0,add,87,0.19033912399999986,0.17464857498998754
CHP,0,delete,87,0.19003807100000003,0.17205326199473348
CHP,0,get_all,87,0.09549133500000018,0.09167680199607275
CHP,0,add,99,0.213101993,0.19492107100086287
CHP,0,delete,99,0.2118018610000001,0.1923861489922274
CHP,0,get_all,99,0.326481856,0.31375601000036113
CHP,0,add,112,0.323434385,0.29438654899422545
CHP,0,delete,112,0.2197696210000002,0.20000814099330455
CHP,0,get_all,112,0.5511876869999999,0.5246719720016699
CHP,0,add,127,0.35942424800000006,0.3265574829856632
CHP,0,delete,127,0.35324063000000017,0.31997251299617346
CHP,0,get_all,127,0.7330113950000001,0.6931555750052212
CHP,0,add,144,0.39711031499999994,0.360218066998641
CHP,0,delete,144,0.3753058349999998,0.34048051499121357
CHP,0,get_all,144,0.8508410279999998,0.8037401249894174
CHP,0,add,163,0.455236518,0.4118568100093398
CHP,0,delete,163,0.3619745999999999,0.32821386599971447
CHP,0,get_all,163,1.733262536,1.6326698630000465
CHP,0,add,184,0.5110339879999999,0.4602068490057718
CHP,0,delete,184,0.27489045600000006,0.2499110470089363
CHP,0,get_all,184,0.9080356199999999,0.8572612809948623
CHP,0,add,209,0.43460144199999995,0.39285146999463905
CHP,0,delete,209,0.1659326590000001,0.150361146996147
CHP,0,get_all,209,1.527804196,1.4382438540051226
CHP,0,add,237,0.599922852,0.5403598480043001
CHP,0,delete,237,0.18845589400000007,0.1706123240001034
CHP,0,get_all,237,1.8551415529999997,1.7487276829924667
CHP,0,add,268,0.08397739999999987,0.08100300499063451
CHP,0,delete,268,0.3749176570000001,0.34009800900821574
CHP,0,get_all,268,1.496041234,1.4088725019973936
CHP,0,add,304,0.17177875899999995,0.1586877999943681
CHP,0,delete,304,0.0882410870000001,0.08087670299573801
CHP,0,get_all,304,0.10121764500000019,0.09716632100753486
CHP,0,add,344,0.2755140960000001,0.2507696550019318
CHP,0,delete,344,0.044421086999999915,0.04103852101252414
CHP,0,get_all,344,1.379284773,1.2999473069939995
CHP,0,add,389,0.3826613930000001,0.34723413600295316
CHP,0,delete,389,0.40393141099999985,0.36602795800718013
CHP,0,get_all,389,1.4699640090000001,1.3847970960050588
CHP,0,add,441,0.5154023600000001,0.46386423100193497
CHP,0,delete,441,0.1404047089999998,0.12747081799898297
CHP,0,get_all,441,0.7738986620000001,0.7323776339908363
CHP,1,add,1,0.1681589729999997,0.15444485399348196
CHP,1,delete,1,0.07031465200000042,0.06511481499182992
CHP,1,get_all,1,1.2961895019999998,1.2183944660064299
CHP,1,add,2,0.1169495399999998,0.10827038700517733
CHP,1,delete,2,0.07016037100000005,0.06496478601184208
CHP,1,get_all,2,1.281265716,1.2048077090003062
CHP,1,add,3,0.030654650999999866,0.03305407500010915
CHP,1,delete,3,0.07166027500000016,0.06647063900891226
CHP,1,get_all,3,1.2684669349999993,1.1928217109962134
