proxy,test_id,method,route_idx,cpu_time,real_time
ConsulProxy,0,add,1,0.039517486000000046,2.792826077900827
ConsulProxy,0,delete,1,0.0044109590000118715,0.007016635034233332
ConsulProxy,0,get_all,1,0.23358134700000122,0.27440996700897813
ConsulProxy,0,add,2,0.029982187999999965,2.039535622112453
ConsulProxy,0,delete,2,0.0018953259999818783,0.004945151973515749
ConsulProxy,0,get_all,2,0.23212970399999833,0.2657175729982555
ConsulProxy,0,add,3,0.037858216000000056,3.5032346891239285
ConsulProxy,0,delete,3,0.0021796430000051714,0.005899274023249745
ConsulProxy,0,get_all,3,0.23951331499999995,0.28015052899718285
ConsulProxy,0,add,4,0.02572284899999988,0.17045070696622133
ConsulProxy,0,delete,4,0.003636774000000287,0.008716174867004156
ConsulProxy,0,get_all,4,0.24294515799999772,0.28554374095983803
ConsulProxy,0,add,5,0.03532369000000002,2.342244560830295
ConsulProxy,0,delete,5,0.0043290559999888956,0.0066452298779040575
ConsulProxy,0,get_all,5,0.2342179549999983,0.2771972198970616
ConsulProxy,0,add,6,0.034633748000000075,3.2824680760968477
ConsulProxy,0,delete,6,0.0023523979999993117,0.005131825106218457
ConsulProxy,0,get_all,6,0.23453040999999786,0.275616668863222
ConsulProxy,0,add,7,0.023940278000000204,0.4859459758736193
ConsulProxy,0,delete,7,0.002186629000021867,0.004711245186626911
ConsulProxy,0,get_all,7,0.23805114200000332,0.28662873595021665
ConsulProxy,0,add,8,0.03449304899999994,2.3620225640479475
ConsulProxy,0,delete,8,0.0019513449999806198,0.0037182169035077095
ConsulProxy,0,get_all,8,0.23481774199999705,0.27646790887229145
ConsulProxy,0,add,9,0.030365348000000125,1.7324472051113844
ConsulProxy,0,delete,9,0.0018141159999913725,0.004107867833226919
ConsulProxy,0,get_all,9,0.233169445999998,0.27804847806692123
ConsulProxy,0,add,10,0.024681148999999847,1.884481084998697
ConsulProxy,0,delete,10,0.0017109640000114723,0.0032428849954158068
ConsulProxy,0,get_all,10,0.22779527300000169,0.26363150402903557
ConsulProxy,0,add,12,0.030504393999999824,1.0615898431278765
ConsulProxy,0,delete,12,0.0016160229999968578,0.003236750839278102
ConsulProxy,0,get_all,12,0.2356294020000007,0.28553612693212926
ConsulProxy,0,add,13,0.032039512999999964,2.1634118368383497
ConsulProxy,0,delete,13,0.0014937219999922036,0.003291286062449217
ConsulProxy,0,get_all,13,0.23860911399999907,0.2782273329794407
ConsulProxy,0,add,15,0.028298441000000008,1.414847485953942
ConsulProxy,0,delete,15,0.0053908010000043305,0.009947892976924777
ConsulProxy,0,get_all,15,0.300990493999997,0.3530498880427331
ConsulProxy,0,add,17,0.03181906899999998,1.8451465319376439
ConsulProxy,0,delete,17,0.005217008000016676,0.009261248866096139
ConsulProxy,0,get_all,17,0.23744980200000043,0.27693346911109984
ConsulProxy,0,add,19,0.037694282999999995,2.165551824029535
ConsulProxy,0,delete,19,0.005885019000004377,0.009466527961194515
ConsulProxy,0,get_all,19,0.2585819739999984,0.3078894300851971
ConsulProxy,0,add,22,0.0357848919999999,2.1891042180359364
ConsulProxy,0,delete,22,0.005171488999991425,0.008398646023124456
ConsulProxy,0,get_all,22,0.24452127500000032,0.29248506808653474
ConsulProxy,0,add,25,0.036729436000000115,3.311526492005214
ConsulProxy,0,delete,25,0.002736938999987615,0.005758900893852115
ConsulProxy,0,get_all,25,0.24600256800000153,0.2897327169775963
ConsulProxy,0,add,28,0.03177891999999982,1.4768752790987492
ConsulProxy,0,delete,28,0.0015736670000023878,0.0030044568702578545
ConsulProxy,0,get_all,28,0.2418848219999994,0.2774873301386833
ConsulProxy,0,add,32,0.026692888999999997,1.8342070521321148
ConsulProxy,0,delete,32,0.001531202999984771,0.0029092589393258095
ConsulProxy,0,get_all,32,0.23744364100000226,0.2794033649843186
ConsulProxy,0,add,36,0.026809416999999947,1.7416106730233878
ConsulProxy,0,delete,36,0.0016434300000014446,0.002999603981152177
ConsulProxy,0,get_all,36,0.23628239399999984,0.277115877950564
ConsulProxy,0,add,41,0.030416183999999902,1.9424179689958692
ConsulProxy,0,delete,41,0.0016549719999829904,0.003482792992144823
ConsulProxy,0,get_all,41,0.23524424300000035,0.270288840867579
ConsulProxy,0,add,47,0.023979719000000177,1.107610479928553
ConsulProxy,0,delete,47,0.0015944230000002335,0.003434467129409313
ConsulProxy,0,get_all,47,0.23866177800000088,0.2780845898669213
ConsulProxy,0,add,53,0.029481579000000036,2.2964350359980017
ConsulProxy,0,delete,53,0.0017705859999921358,0.003595943097025156
ConsulProxy,0,get_all,53,0.23532717700000205,0.2747638139408082
ConsulProxy,0,add,60,0.036986814000000034,1.6342119339387864
ConsulProxy,0,delete,60,0.0039009080000198537,0.007255406118929386
ConsulProxy,0,get_all,60,0.23260483600000015,0.27079810900613666
ConsulProxy,0,add,68,0.02049584900000001,1.2760970599483699
ConsulProxy,0,delete,68,0.002333297000006951,0.008973264135420322
ConsulProxy,0,get_all,68,0.23254364699999996,0.27407758589833975
ConsulProxy,0,add,77,0.02120480399999991,1.7092466121539474
ConsulProxy,0,delete,77,0.002033115999978463,0.003889524843543768
ConsulProxy,0,get_all,77,0.3029641099999978,0.3585472209379077
ConsulProxy,0,add,87,0.03669076799999971,2.19531763298437
ConsulProxy,0,delete,87,0.0019728380000003654,0.0039175329729914665
ConsulProxy,0,get_all,87,0.2584063739999962,0.30183216789737344
ConsulProxy,0,add,99,0.026400654999999773,4.459724148036912
ConsulProxy,0,delete,99,0.001951220000023568,0.004031318938359618
ConsulProxy,0,get_all,99,0.2606504880000031,0.30692146299406886
ConsulProxy,0,add,112,0.01873615399999995,1.4211177141405642
ConsulProxy,0,delete,112,0.001993460999983654,0.0035872820299118757
ConsulProxy,0,get_all,112,0.25291520199999695,0.2976828860118985
ConsulProxy,0,add,127,0.02840821399999971,2.3989072090480477
ConsulProxy,0,delete,127,0.0019089520000079574,0.0039167748764157295
ConsulProxy,0,get_all,127,0.2571431369999999,0.30078190308995545
ConsulProxy,0,add,144,0.03145415000000007,1.9870975089725107
ConsulProxy,0,delete,144,0.002144471999997677,0.003796844044700265
ConsulProxy,0,get_all,144,0.2565427700000029,0.2898759110830724
ConsulProxy,0,add,163,0.03306641600000049,4.838125179987401
ConsulProxy,0,delete,163,0.0020494610000127977,0.004162078956142068
ConsulProxy,0,get_all,163,0.29067989400000016,0.3439973641652614
ConsulProxy,0,add,184,0.03555388799999992,2.967640653019771
ConsulProxy,0,delete,184,0.0018515610000235938,0.003426463110372424
ConsulProxy,0,get_all,184,0.2578147180000059,0.30301961000077426
ConsulProxy,0,add,209,0.04233505499999968,4.050455613993108
ConsulProxy,0,delete,209,0.002045840999983284,0.0039532489608973265
ConsulProxy,0,get_all,209,0.24624579299999994,0.28848500503227115
ConsulProxy,0,add,237,0.03639582200000113,3.5421784101054072
ConsulProxy,0,delete,237,0.001958321000017804,0.004000355023890734
ConsulProxy,0,get_all,237,0.32893856399999777,0.3863446391187608
ConsulProxy,0,add,268,0.02395620700000123,4.495000127935782
ConsulProxy,0,delete,268,0.0020319359999803055,0.0034881888423115015
