Proxy,TestID,1,2,3,4,5,6,7,8,9,10
CHP,0,310.8755646211321,465.3820375531605,637.3413005276728,517.7742231724692,561.1604239658681,551.5192831889128,574.8264252285717,546.7450154429159,455.204809217116,368.7906134399523
CHP,1,297.8566943641217,414.3012238476391,474.6362096410325,520.2924624941334,574.0135638347706,589.1496814127166,581.5051085551848,602.220971792265,429.9234731872101,405.2028445559307
CHP,2,307.9001520407115,393.4190652771889,455.9564064503687,534.2121322745595,550.3450291613791,586.3888229849126,549.6314708922516,468.39150248867946,454.5686309485593,390.2239370037304
CHP,3,285.33801984073256,408.2942189190948,397.0678215346185,440.44008804339495,514.2399128653572,560.5858153481488,568.5055934239867,573.0894111033317,483.31320582948877,571.8177930855101
CHP,4,304.0423800469031,396.9211374939789,452.3135788037969,504.6977942142912,530.5422166794054,557.3634099335726,583.8526144319359,583.0792596682792,430.5604868918595,595.2298824517427
TomlProxy,0,395.9077989453875,590.8940479540781,636.6978194450307,619.0203527624352,690.3438241741964,719.4393227400786,764.9924808824136,770.0722722759244,802.6016827463053,850.9080991286614
TomlProxy,1,395.2574856377617,581.917653733012,623.1139469917069,663.1136542148951,682.6842444847134,649.4337042934308,766.0652668273416,754.85354073681,802.8200602646598,519.1237697922445
TomlProxy,2,408.41113385998415,561.0993687469334,606.2352698219703,663.0541350805039,709.823198856284,721.5344185330355,805.1417368949552,848.154353592958,752.0162892107728,820.9584788186212
TomlProxy,3,387.43468304745255,582.1233611404169,627.3002674034608,637.1371192989053,681.7251057702174,701.7214434931335,751.2238073842342,768.2422730738289,819.3866528312294,866.0893011292947
TomlProxy,4,394.6553820074503,584.4240326503525,614.3614283396263,663.3281937938907,688.705068705154,715.8488946213461,725.6143629432449,766.7659817021337,838.4123733408421,864.2651064438419
EtcdProxy,0,389.5567741587094,610.5093432236885,612.4448773328743,639.7384994351952,605.0502470064666,671.6112942055066,693.9447459193883,791.3901950609176,774.3900038416888,770.2562510877599
EtcdProxy,1,383.93962282175795,565.643526281065,650.9541158581599,648.1823201034828,648.8207430806737,712.5080336597556,719.2409851403473,714.7173616199965,733.7559456714091,483.0994164719306
EtcdProxy,2,372.65469187708635,560.7341686045327,637.9754981690962,639.6383073418384,698.4905557983666,705.2294976053154,723.0217511026822,785.7755175515185,788.7948704686333,864.990765587343
EtcdProxy,3,403.3348049221391,633.3359984865599,653.7681587284922,655.8449155345713,698.0316314878417,718.2366431916638,890.6007691728482,811.3429647755736,837.2522340511041,820.5333063686905
EtcdProxy,4,407.01893059849334,585.913446989168,676.6696993957378,645.6533531405356,723.8536150524629,708.3745427039094,794.9709571446725,865.0347954306011,845.5935069985826,752.9062150076338
ConsulProxy,0,385.1526478369164,578.5164619261002,647.2905156886459,650.8104781506064,687.4599538822773,695.8597889196317,746.7466135633413,761.0545981015542,707.6287043310003,847.2411914267944
ConsulProxy,1,404.85390716289197,561.8967350178004,608.2827862315781,665.6010367167027,663.1038380418481,697.958397898755,783.5796084779336,777.7645484362787,848.1700525916101,593.7124171692074
ConsulProxy,2,387.2849274021937,586.2239645085194,635.4080514467676,646.7938422592425,725.8151041858151,724.7635984036955,715.5473679438485,774.8849911449257,804.7911095460131,865.2576143929273
ConsulProxy,3,401.9849155081633,558.3972066811461,623.2388711274825,639.3432208674598,664.4862634748523,742.3610564580711,755.8238255205983,732.9522930916369,908.4895666435112,730.2842928146623
ConsulProxy,4,382.3924439679155,567.4360276176993,615.5529996877432,620.678252664735,701.2203153661925,629.2932354808552,703.3647971218742,733.5758074157541,762.6757949107732,812.39246344571
