proxy,test_id,method,route_idx,cpu_time,real_time
ConsulProxy,0,add,1,0.01842759000000016,0.21440153615549207
ConsulProxy,0,delete,1,0.0037167090000025382,0.008549679070711136
ConsulProxy,0,get_all,1,0.22863351799999876,0.2687249309383333
ConsulProxy,0,add,2,0.023635552000000004,0.20279743988066912
ConsulProxy,0,delete,2,0.003392221000012796,0.0065814529079943895
ConsulProxy,0,get_all,2,0.23415243699999877,0.27316270396113396
ConsulProxy,0,add,3,0.027185416000000018,0.5612324511166662
ConsulProxy,0,delete,3,0.0032067349999920225,0.00615469110198319
ConsulProxy,0,get_all,3,0.23237839300000118,0.27226006402634084
ConsulProxy,0,add,4,0.02660456,0.49635136500000954
ConsulProxy,0,delete,4,0.003191182999984221,0.005780484061688185
ConsulProxy,0,get_all,4,0.22895995900000088,0.26840342208743095
ConsulProxy,0,add,5,0.02474249900000003,0.42159127816557884
ConsulProxy,0,delete,5,0.003136759000000211,0.005177210085093975
ConsulProxy,0,get_all,5,0.23076226699999935,0.2664303542114794
ConsulProxy,0,add,6,0.02941852800000011,0.3719570469111204
ConsulProxy,0,delete,6,0.00281788699999197,0.005269866902381182
ConsulProxy,0,get_all,6,0.23512028400000062,0.27072701300494373
ConsulProxy,0,add,7,0.02361407399999993,0.43678099499084055
ConsulProxy,0,delete,7,0.002410701000002291,0.004181938944384456
ConsulProxy,0,get_all,7,0.233042575999999,0.2670613401569426
ConsulProxy,0,add,8,0.023159543999999865,0.5962520397733897
ConsulProxy,0,delete,8,0.0019425499999954354,0.006260927068069577
ConsulProxy,0,get_all,8,0.23345617800000085,0.2793183159083128
ConsulProxy,0,add,9,0.028421008000000025,0.5769224299583584
ConsulProxy,0,delete,9,0.002070833000004768,0.0034114110749214888
ConsulProxy,0,get_all,9,0.23370667400000045,0.27327216789126396
ConsulProxy,0,add,10,0.03550451999999993,1.755400335881859
ConsulProxy,0,delete,10,0.001692672000018547,0.003679935121908784
ConsulProxy,0,get_all,10,0.23341742399999887,0.2685307450592518
ConsulProxy,0,add,12,0.028181271000000008,0.34689751896075904
ConsulProxy,0,delete,12,0.0016117769999937082,0.0035470130387693644
ConsulProxy,0,get_all,12,0.23461325000000244,0.2749166521243751
ConsulProxy,0,add,13,0.020977305000000168,0.29932107613421977
ConsulProxy,0,delete,13,0.0013096460000099341,0.002716030925512314
ConsulProxy,0,get_all,13,0.2304384430000006,0.27077870490029454
ConsulProxy,0,add,15,0.04483970199999998,1.5802645168732852
ConsulProxy,0,delete,15,0.0012221060000001671,0.002551386132836342
ConsulProxy,0,get_all,15,0.2305140520000002,0.261583301005885
ConsulProxy,0,add,17,0.03036991599999994,1.1215288571547717
ConsulProxy,0,delete,17,0.001369347999997217,0.002624969929456711
ConsulProxy,0,get_all,17,0.23040273899999875,0.2622561289463192
ConsulProxy,0,add,19,0.03503562799999993,0.73929189494811
ConsulProxy,0,delete,19,0.001496054000000413,0.0027823399286717176
ConsulProxy,0,get_all,19,0.22982650999999876,0.2787760579958558
ConsulProxy,0,add,22,0.020069888999999952,1.099040981149301
ConsulProxy,0,delete,22,0.0012815359999933662,0.0029366211965680122
ConsulProxy,0,get_all,22,0.23914856599999723,0.2817485318519175
ConsulProxy,0,add,25,0.028125041000000017,1.695608913898468
ConsulProxy,0,delete,25,0.0013535049999973126,0.0026748140808194876
ConsulProxy,0,get_all,25,0.23179877000000104,0.27315046987496316
ConsulProxy,0,add,28,0.0395813599999999,3.2053624850232154
ConsulProxy,0,delete,28,0.0012910730000044168,0.003130589844658971
ConsulProxy,0,get_all,28,0.23216535899999968,0.26906507019884884
ConsulProxy,0,add,32,0.021996587000000067,0.4852161610033363
ConsulProxy,0,delete,32,0.0013486660000125994,0.003170670010149479
ConsulProxy,0,get_all,32,0.23164395399999904,0.27612691721878946
ConsulProxy,0,add,36,0.02706341599999984,1.0938955100718886
ConsulProxy,0,delete,36,0.001495994999999084,0.004542598966509104
ConsulProxy,0,get_all,36,0.23386653500000065,0.27647041413001716
ConsulProxy,0,add,41,0.01787155599999979,0.45901049696840346
ConsulProxy,0,delete,41,0.00138658500000588,0.002651514019817114
ConsulProxy,0,get_all,41,0.23765218899999851,0.27458367496728897
ConsulProxy,0,add,47,0.011151005999999963,0.716235290048644
ConsulProxy,0,delete,47,0.0012899190000155158,0.002514526015147567
ConsulProxy,0,get_all,47,0.23320817199999766,0.27160115307196975
ConsulProxy,0,add,53,0.033097551,1.5883703571744263
ConsulProxy,0,delete,53,0.0013913370000011582,0.002755844034254551
ConsulProxy,0,get_all,53,0.23599152399999923,0.27610398293472826
ConsulProxy,0,add,60,0.04240942900000011,3.71544523187913
ConsulProxy,0,delete,60,0.0013580230000229676,0.0031524079386144876
ConsulProxy,0,get_all,60,0.23177098400000062,0.2742586210370064
ConsulProxy,0,add,68,0.03607863899999986,2.2049275911413133
ConsulProxy,0,delete,68,0.0014549469999849407,0.0032183020375669003
ConsulProxy,0,get_all,68,0.22988695499999778,0.25934877595864236
ConsulProxy,0,add,77,0.024719253999999857,1.5197542870882899
ConsulProxy,0,delete,77,0.0014531600000111666,0.0026934719644486904
ConsulProxy,0,get_all,77,0.23242445300000014,0.2707834371831268
ConsulProxy,0,add,87,0.033360242000000095,4.348702499875799
ConsulProxy,0,delete,87,0.0015651429999934408,0.004063138971105218
ConsulProxy,0,get_all,87,0.25323045200000394,0.29875558288767934
ConsulProxy,0,add,99,0.03283292599999976,2.6455084511544555
ConsulProxy,0,delete,99,0.0015876389999789353,0.0028429271187633276
ConsulProxy,0,get_all,99,0.24273232899999897,0.27605108194984496
ConsulProxy,0,add,112,0.024941536000000042,1.581841634819284
ConsulProxy,0,delete,112,0.001551663000014969,0.00330023979768157
ConsulProxy,0,get_all,112,0.24809089000000029,0.2916697219479829
ConsulProxy,0,add,127,0.025432896999999954,3.3079572410788387
ConsulProxy,0,delete,127,0.0017515209999885428,0.004251794191077352
ConsulProxy,0,get_all,127,0.24458585200000016,0.2784107399638742
ConsulProxy,0,add,144,0.023921392000000097,3.5365330239292234
ConsulProxy,0,delete,144,0.001540110000007644,0.003399820998311043
ConsulProxy,0,get_all,144,0.24763101100000284,0.28306363290175796
ConsulProxy,0,add,163,0.027671366999999947,4.433530535083264
ConsulProxy,0,delete,163,0.0016691920000084792,0.002958322875201702
ConsulProxy,0,get_all,163,0.24486844700000177,0.28623109799809754
ConsulProxy,0,add,184,0.022605240999999943,1.7607722620014101
ConsulProxy,0,delete,184,0.0015568039999891425,0.0034372899681329727
ConsulProxy,0,get_all,184,0.24094482900000003,0.27961531188338995
ConsulProxy,0,add,209,0.0230578140000004,2.420478456886485
ConsulProxy,0,delete,209,0.0015657959999941795,0.0028759220149368048
ConsulProxy,0,get_all,209,0.24625918899999988,0.27874799887649715
ConsulProxy,0,add,237,0.04060131399999989,4.631026244955137
ConsulProxy,0,delete,237,0.0016870850000145765,0.0031967831309884787
ConsulProxy,0,get_all,237,0.24306891599999858,0.28050711192190647
ConsulProxy,0,add,268,0.029425859999999915,5.735922368941829
ConsulProxy,0,delete,268,0.0016771260000041366,0.003583228914067149
ConsulProxy,0,get_all,268,0.24305057800000895,0.28931252215988934
ConsulProxy,0,add,304,0.028289679000000234,5.989688529865816
ConsulProxy,0,delete,304,0.0015373700000225199,0.003491078969091177
ConsulProxy,0,get_all,304,0.24398083200000542,0.2880819330457598
ConsulProxy,0,add,344,0.03841780299999975,6.971370372921228
ConsulProxy,0,delete,344,0.001545633000006319,0.0033647979144006968
ConsulProxy,0,get_all,344,0.24975807399999894,0.2932072060648352
ConsulProxy,0,add,389,0.030422722000000846,3.167602188885212
ConsulProxy,0,delete,389,0.0016616839999983313,0.0030684799421578646
ConsulProxy,0,get_all,389,0.24986512199998856,0.292823483934626
ConsulProxy,0,add,441,0.03685429600000134,8.184706923086196
ConsulProxy,0,delete,441,0.0018119500000182143,0.005159866064786911
ConsulProxy,0,get_all,441,0.24317212500000096,0.28244605707004666
